query,engine,rank,sku,score,Description,is_gold
coffee mug,whoosh,1,21398,11.333342890028325,RED POLKADOT COFFEE  MUG,1
coffee mug,whoosh,2,21399,11.333342890028325,BLUE POLKADOT COFFEE MUG,1
coffee mug,whoosh,3,22303,11.333342890028325,COFFEE MUG APPLES DESIGN,1
coffee mug,whoosh,4,22302,11.333342890028325,COFFEE MUG PEARS  DESIGN,1
coffee mug,whoosh,5,22970,11.333342890028325,LONDON BUS COFFEE MUG,1
coffee mug,whoosh,6,22971,11.333342890028325,QUEENS GUARD COFFEE MUG,1
coffee mug,whoosh,7,22300,10.300807892968662,COFFEE MUG DOG + BALL DESIGN,1
coffee mug,whoosh,8,22301,10.300807892968662,COFFEE MUG CAT + BIRD DESIGN,1
coffee mug,whoosh,9,22304,10.300807892968662,COFFEE MUG BLUE PAISLEY DESIGN,1
coffee mug,whoosh,10,22305,10.300807892968662,COFFEE MUG PINK PAISLEY DESIGN,1
coffee mug,es,1,21398,9.605316,RED POLKADOT COFFEE  MUG,1
coffee mug,es,2,21399,9.605316,BLUE POLKADOT COFFEE MUG,1
coffee mug,es,3,22303,9.605316,COFFEE MUG APPLES DESIGN,1
coffee mug,es,4,22302,9.605316,COFFEE MUG PEARS  DESIGN,1
coffee mug,es,5,22970,9.605316,LONDON BUS COFFEE MUG,1
coffee mug,es,6,22971,9.605316,QUEENS GUARD COFFEE MUG,1
coffee mug,es,7,22300,8.764688,COFFEE MUG DOG + BALL DESIGN,1
coffee mug,es,8,22301,8.764688,COFFEE MUG CAT + BIRD DESIGN,1
coffee mug,es,9,22304,8.764688,COFFEE MUG BLUE PAISLEY DESIGN,1
coffee mug,es,10,22305,8.764688,COFFEE MUG PINK PAISLEY DESIGN,1
gift wrap paper,es,1,22045,9.70896,SPACEBOY GIFT WRAP,1
gift wrap paper,es,2,22047,9.70896,EMPIRE GIFT WRAP,1
gift wrap paper,es,3,22052,8.777765,VINTAGE CARAVAN GIFT WRAP,1
gift wrap paper,es,4,22048,8.777765,BIRTHDAY BANQUET GIFT WRAP,1
gift wrap paper,es,5,22040,8.777765,BOTANICAL ROSE GIFT WRAP,1
gift wrap paper,es,6,22038,8.777765,BOTANICAL LAVENDER GIFT WRAP ,1
gift wrap paper,es,7,22039,8.777765,BOTANICAL LILY GIFT WRAP,1
gift wrap paper,es,8,85032D,8.009562,YULETIDE IMAGES GIFT WRAP SET,1
gift wrap paper,es,9,22050,8.009562,PINK PAISLEY ROSE GIFT WRAP,1
gift wrap paper,es,10,85032A,8.009562,ROMANTIC IMAGES GIFT WRAP SET,1
cordless drill under 50,es,1,85017A,5.5797944,ENVELOPE 50 ROMANTIC IMAGES,0
cordless drill under 50,es,2,85017B,5.5797944,ENVELOPE 50 BLOSSOM IMAGES,0
cordless drill under 50,es,3,85017C,5.5797944,ENVELOPE 50 CURIOUS IMAGES,0
cordless drill under 50,es,4,23123,5.5797944,COCKTAIL SWORDS 50 PIECES,0
cordless drill under 50,es,5,23122,5.5797944,PARTY CHARMS 50 PIECES,0
cordless drill under 50,es,6,16169E,5.5797944,WRAP 50'S  CHRISTMAS,0
cordless drill under 50,es,7,23247,5.091467,BISCUIT TIN 50'S CHRISTMAS,0
cordless drill under 50,es,8,23344,5.091467,JUMBO BAG 50'S CHRISTMAS ,0
cordless drill under 50,es,9,23320,5.091467,GIANT 50'S CHRISTMAS CRACKER,0
cordless drill under 50,es,10,23351,5.091467,ROLL WRAP 50'S CHRISTMAS,0
stainless steel bowl,es,1,21473,6.996434,SWEETHEART CREAM STEEL TABLE RECT,0
stainless steel bowl,es,2,21476,6.996434,STEEL SWEETHEART ROUND TABLE CREAM,0
stainless steel bowl,es,3,20676,4.843504,RED RETROSPOT BOWL,0
stainless steel bowl,es,4,22350,4.843504,ILLUSTRATED CAT BOWL ,0
stainless steel bowl,es,5,20674,4.843504,GREEN POLKADOT BOWL,0
stainless steel bowl,es,6,20675,4.843504,BLUE POLKADOT BOWL,0
stainless steel bowl,es,7,20677,4.843504,PINK POLKADOT BOWL,0
stainless steel bowl,es,8,22701,4.843504,PINK DOG BOWL,0
stainless steel bowl,es,9,22703,4.843504,PINK CAT BOWL,0
stainless steel bowl,es,10,23290,4.843504,SPACEBOY CHILDRENS BOWL,0
led outdoor floodlight,es,1,21833,7.571218,CAMOUFLAGE LED TORCH,0
led outdoor floodlight,es,2,23109,7.571218,LED TEA LIGHTS,0
led outdoor floodlight,es,3,21731,6.2459965,RED TOADSTOOL LED NIGHT LIGHT,0
led outdoor floodlight,es,4,DCGS0076,6.2459965,SUNJAR LED NIGHT NIGHT LIGHT,0
led outdoor floodlight,es,5,23108,5.7433558,SET OF 10 LED DOLLY LIGHTS,0
tea spoon,whoosh,1,23160,14.175315075102095,REGENCY TEA SPOON,1
tea spoon,es,1,23160,12.303701,REGENCY TEA SPOON,1
tea spoon,es,2,21401,7.3784842,BLUE PUDDING SPOON,0
tea spoon,es,3,21403,7.3784842,BLUE EGG  SPOON,0
tea spoon,es,4,21400,7.3784842,RED PUDDING SPOON,0
tea spoon,es,5,21402,7.3784842,RED  EGG  SPOON,0
tea spoon,es,6,23183,6.670808,MOTHER'S KITCHEN SPOON REST ,0
tea spoon,es,7,47580,5.672289,TEA TIME DES TEA COSY,0
tea spoon,es,8,37501,5.054719,TEA TIME TEA SET IN GIFT BOX,0
tea spoon,es,9,79000,4.9252176,MOROCCAN TEA GLASS,0
tea spoon,es,10,23162,4.9252176,REGENCY TEA STRAINER,0
coat rack,whoosh,1,22467,15.28335690967988,GUMBALL COAT RACK,1
coat rack,whoosh,2,22788,15.28335690967988,BROCANTE COAT RACK,1
coat rack,whoosh,3,23411,15.28335690967988, TRELLIS COAT RACK,1
coat rack,whoosh,4,22719,13.751379899161122,GUMBALL MONOCHROME COAT RACK,1
coat rack,whoosh,5,22913,12.498547337619243,RED COAT RACK PARIS FASHION,1
coat rack,whoosh,6,22912,12.498547337619243,YELLOW COAT RACK PARIS FASHION,1
coat rack,whoosh,7,22914,12.498547337619243,BLUE COAT RACK PARIS FASHION,1
