objectID,title,artistDisplayName,artistNationality,objectDate,classification,department,medium,culture,period,artistBeginDate,artistEndDate
1,One-dollar Liberty Head Coin,James Barton Longacre,American,1853,,The American Wing,Gold,,,1794,1869
2,Ten-dollar Liberty Head Coin,Christian Gobrecht,American,1901,,The American Wing,Gold,,,1785,1844
3,Two-and-a-Half Dollar Coin,,,1909–27,,The American Wing,Gold,,,,
4,Two-and-a-Half Dollar Coin,,,1909–27,,The American Wing,Gold,,,,
5,Two-and-a-Half Dollar Coin,,,1909–27,,The American Wing,Gold,,,,
6,Two-and-a-Half Dollar Coin,,,1909–27,,The American Wing,Gold,,,,
7,Two-and-a-Half Dollar Coin,,,1909–27,,The American Wing,Gold,,,,
8,Two-and-a-Half Dollar Coin,,,1909–27,,The American Wing,Gold,,,,
9,Two-and-a-Half Dollar Coin,,,1909–27,,The American Wing,Gold,,,,
10,Two-and-a-half-dollar Indian Head Coin,Bela Lyon Pratt,American,1912,,The American Wing,Gold,,,1867,1917
11,Two-and-a-half-dollar Liberty Head Coin,Christian Gobrecht,American,1907,,The American Wing,Gold,,,1785,1844
12,Twenty-dollar Liberty Head Coin,James Barton Longacre,American,1876,,The American Wing,Gold,,,1794,1869
13,Five-dollar Indian Head Coin,Bela Lyon Pratt,American,1910,,The American Wing,Gold,,,1867,1917
14,Five-dollar Liberty Head Coin,Christian Gobrecht,American,1907,,The American Wing,Gold,,,1785,1844
15,"Coin, 1/2 Real",,,1665–1700,,The American Wing,Silver,Mexican,,,
16,"Coin, 1/4 Peso",,,1800–1900,,The American Wing,Bronze or copper,Mexican,,,
17,"Coin, 1/4 Peso",,,1867,,The American Wing,Bronze or copper,Mexican,,,
18,"Coin, 1/4 Peso",,,1860,,The American Wing,Bronze or copper,Mexican,,,
19,"Coin, 1/4 Peso",,,1859,,The American Wing,Bronze or copper,Mexican,,,
20,"Coin, 1/4 Peso",,,1860,,The American Wing,Bronze or copper,Mexican,,,
21,"Coin, 1/4 Peso",,,1859,,The American Wing,Bronze or copper,Mexican,,,
22,"Coin, 1/4 Real",,,1881,,The American Wing,Silver,Guatemalan,,,
